"Tree","Transition","Observed","CI_Lower","CI_Upper","Significance"
"Tree_43","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_44","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_44","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_45","wastewater_to_clinics",23,20,29,"Within 95% CI"
"Tree_45","clinics_to_wastewater",22,19,29,"Within 95% CI"
"Tree_46","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_46","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_47","wastewater_to_clinics",26,19.975,29,"Within 95% CI"
"Tree_47","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_48","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_48","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_49","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_49","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_50","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_50","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_51","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_51","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_52","wastewater_to_clinics",28,20,30,"Within 95% CI"
"Tree_52","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_53","wastewater_to_clinics",20,20,30,"Within 95% CI"
"Tree_53","clinics_to_wastewater",19,20,30,"Below 95% CI"
"Tree_54","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_54","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_55","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_55","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_56","wastewater_to_clinics",25,19,30,"Within 95% CI"
"Tree_56","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_57","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_57","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_58","wastewater_to_clinics",24,20,29.025,"Within 95% CI"
"Tree_58","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_59","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_59","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_60","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_60","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_61","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_61","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_62","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_62","clinics_to_wastewater",25,19.975,30,"Within 95% CI"
"Tree_63","wastewater_to_clinics",25,20.975,29,"Within 95% CI"
"Tree_63","clinics_to_wastewater",24,20,29,"Within 95% CI"
"Tree_64","wastewater_to_clinics",24,20,31,"Within 95% CI"
"Tree_64","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_65","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_65","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_66","wastewater_to_clinics",23,19,30,"Within 95% CI"
"Tree_66","clinics_to_wastewater",22,19,30,"Within 95% CI"
"Tree_67","wastewater_to_clinics",28,20,30,"Within 95% CI"
"Tree_67","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_68","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_68","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_69","wastewater_to_clinics",21,19.975,30,"Within 95% CI"
"Tree_69","clinics_to_wastewater",20,19,30,"Within 95% CI"
"Tree_70","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_70","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_71","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_71","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_72","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_72","clinics_to_wastewater",24,19,30,"Within 95% CI"
"Tree_73","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_73","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_74","wastewater_to_clinics",21,20,30,"Within 95% CI"
"Tree_74","clinics_to_wastewater",20,20,30,"Within 95% CI"
"Tree_75","wastewater_to_clinics",24,20,29,"Within 95% CI"
"Tree_75","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_76","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_76","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_77","wastewater_to_clinics",27,19,30,"Within 95% CI"
"Tree_77","clinics_to_wastewater",26,19,30,"Within 95% CI"
"Tree_78","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_78","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_79","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_79","clinics_to_wastewater",23,20,31,"Within 95% CI"
"Tree_80","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_80","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_81","wastewater_to_clinics",21,20,30,"Within 95% CI"
"Tree_81","clinics_to_wastewater",20,19,30,"Within 95% CI"
"Tree_82","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_82","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_83","wastewater_to_clinics",22,20,29,"Within 95% CI"
"Tree_83","clinics_to_wastewater",21,19,30,"Within 95% CI"
"Tree_84","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_84","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_85","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_85","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_86","wastewater_to_clinics",30,20,30,"Within 95% CI"
"Tree_86","clinics_to_wastewater",29,20,30,"Within 95% CI"
"Tree_87","wastewater_to_clinics",21,20,29,"Within 95% CI"
"Tree_87","clinics_to_wastewater",20,20,29,"Within 95% CI"
"Tree_88","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_88","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_89","wastewater_to_clinics",24,19,30,"Within 95% CI"
"Tree_89","clinics_to_wastewater",23,19,30,"Within 95% CI"
"Tree_90","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_90","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_91","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_91","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_92","wastewater_to_clinics",25,20,31,"Within 95% CI"
"Tree_92","clinics_to_wastewater",24,20,31,"Within 95% CI"
"Tree_93","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_93","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_94","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_94","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_95","wastewater_to_clinics",27,19,29,"Within 95% CI"
"Tree_95","clinics_to_wastewater",26,19,29,"Within 95% CI"
"Tree_96","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_96","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_97","wastewater_to_clinics",26,19,29,"Within 95% CI"
"Tree_97","clinics_to_wastewater",25,19,29,"Within 95% CI"
"Tree_98","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_98","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_99","wastewater_to_clinics",25,20,29,"Within 95% CI"
"Tree_99","clinics_to_wastewater",24,19.975,30,"Within 95% CI"
"Tree_100","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_100","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_101","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_101","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_102","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_102","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_103","wastewater_to_clinics",26,21,30,"Within 95% CI"
"Tree_103","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_104","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_104","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_105","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_105","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_106","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_106","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_107","wastewater_to_clinics",25,19,29,"Within 95% CI"
"Tree_107","clinics_to_wastewater",24,19,29,"Within 95% CI"
"Tree_108","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_108","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_109","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_109","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_110","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_110","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_111","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_111","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_112","wastewater_to_clinics",24,19,30,"Within 95% CI"
"Tree_112","clinics_to_wastewater",23,19,30,"Within 95% CI"
"Tree_113","wastewater_to_clinics",25,20,29,"Within 95% CI"
"Tree_113","clinics_to_wastewater",24,20,29,"Within 95% CI"
"Tree_114","wastewater_to_clinics",23,19,29,"Within 95% CI"
"Tree_114","clinics_to_wastewater",22,19,29,"Within 95% CI"
"Tree_115","wastewater_to_clinics",22,20,29,"Within 95% CI"
"Tree_115","clinics_to_wastewater",21,20,29,"Within 95% CI"
"Tree_116","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_116","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_117","wastewater_to_clinics",21,19,30,"Within 95% CI"
"Tree_117","clinics_to_wastewater",20,19,30,"Within 95% CI"
"Tree_118","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_118","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_119","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_119","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_120","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_120","clinics_to_wastewater",26,19.975,30,"Within 95% CI"
"Tree_121","wastewater_to_clinics",28,20,30,"Within 95% CI"
"Tree_121","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_122","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_122","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_123","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_123","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_124","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_124","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_125","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_125","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_126","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_126","clinics_to_wastewater",25,20,30.025,"Within 95% CI"
"Tree_127","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_127","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_128","wastewater_to_clinics",22,20,29.025,"Within 95% CI"
"Tree_128","clinics_to_wastewater",21,20,29,"Within 95% CI"
"Tree_129","wastewater_to_clinics",25,19,30,"Within 95% CI"
"Tree_129","clinics_to_wastewater",24,19,30,"Within 95% CI"
"Tree_130","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_130","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_131","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_131","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_132","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_132","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_133","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_133","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_134","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_134","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_135","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_135","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_136","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_136","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_137","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_137","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_138","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_138","clinics_to_wastewater",24,20,31,"Within 95% CI"
"Tree_139","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_139","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_140","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_140","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_141","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_141","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_142","wastewater_to_clinics",20,19,29,"Within 95% CI"
"Tree_142","clinics_to_wastewater",19,19,29,"Within 95% CI"
"Tree_143","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_143","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_144","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_144","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_145","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_145","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_146","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_146","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_147","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_147","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_148","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_148","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_149","wastewater_to_clinics",28,20,30,"Within 95% CI"
"Tree_149","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_150","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_150","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_151","wastewater_to_clinics",23,19,30,"Within 95% CI"
"Tree_151","clinics_to_wastewater",22,19,29.025,"Within 95% CI"
"Tree_152","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_152","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_153","wastewater_to_clinics",25,19,30,"Within 95% CI"
"Tree_153","clinics_to_wastewater",24,19,30,"Within 95% CI"
"Tree_154","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_154","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_155","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_155","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_156","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_156","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_157","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_157","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_158","wastewater_to_clinics",25,19,30,"Within 95% CI"
"Tree_158","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_159","wastewater_to_clinics",24,20,29,"Within 95% CI"
"Tree_159","clinics_to_wastewater",23,19.975,29,"Within 95% CI"
"Tree_160","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_160","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_161","wastewater_to_clinics",22,20,31,"Within 95% CI"
"Tree_161","clinics_to_wastewater",21,20,31,"Within 95% CI"
"Tree_162","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_162","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_163","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_163","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_164","wastewater_to_clinics",23,19.975,30,"Within 95% CI"
"Tree_164","clinics_to_wastewater",22,19,30,"Within 95% CI"
"Tree_165","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_165","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_166","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_166","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_167","wastewater_to_clinics",27,19,30,"Within 95% CI"
"Tree_167","clinics_to_wastewater",26,19,30,"Within 95% CI"
"Tree_168","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_168","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_169","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_169","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_170","wastewater_to_clinics",24,19,29,"Within 95% CI"
"Tree_170","clinics_to_wastewater",23,19,29,"Within 95% CI"
"Tree_171","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_171","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_172","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_172","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_173","wastewater_to_clinics",21,19,29,"Within 95% CI"
"Tree_173","clinics_to_wastewater",20,19,29,"Within 95% CI"
"Tree_174","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_174","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_175","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_175","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_176","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_176","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_177","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_177","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_178","wastewater_to_clinics",23,20,29,"Within 95% CI"
"Tree_178","clinics_to_wastewater",22,20,29,"Within 95% CI"
"Tree_179","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_179","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_180","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_180","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_181","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_181","clinics_to_wastewater",26,20,30,"Within 95% CI"
"Tree_182","wastewater_to_clinics",25,19,30,"Within 95% CI"
"Tree_182","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_183","wastewater_to_clinics",24,19.975,30,"Within 95% CI"
"Tree_183","clinics_to_wastewater",23,19,30,"Within 95% CI"
"Tree_184","wastewater_to_clinics",29,20,30,"Within 95% CI"
"Tree_184","clinics_to_wastewater",28,20,30,"Within 95% CI"
"Tree_185","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_185","clinics_to_wastewater",21,19,30,"Within 95% CI"
"Tree_186","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_186","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_187","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_187","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_188","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_188","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_189","wastewater_to_clinics",24,20,29,"Within 95% CI"
"Tree_189","clinics_to_wastewater",23,20,29,"Within 95% CI"
"Tree_190","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_190","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_191","wastewater_to_clinics",24,20,29,"Within 95% CI"
"Tree_191","clinics_to_wastewater",23,20,29,"Within 95% CI"
"Tree_192","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_192","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_193","wastewater_to_clinics",23,20,29.025,"Within 95% CI"
"Tree_193","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_194","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_194","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_195","wastewater_to_clinics",26,20,31,"Within 95% CI"
"Tree_195","clinics_to_wastewater",25,20,31,"Within 95% CI"
"Tree_196","wastewater_to_clinics",25,20,30.025,"Within 95% CI"
"Tree_196","clinics_to_wastewater",24,20,31,"Within 95% CI"
"Tree_197","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_197","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_198","wastewater_to_clinics",22,20,29.025,"Within 95% CI"
"Tree_198","clinics_to_wastewater",21,20,29,"Within 95% CI"
"Tree_199","wastewater_to_clinics",26,19.975,30,"Within 95% CI"
"Tree_199","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_200","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_200","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_201","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_201","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_202","wastewater_to_clinics",23,19,29,"Within 95% CI"
"Tree_202","clinics_to_wastewater",22,19,29,"Within 95% CI"
"Tree_203","wastewater_to_clinics",27,20,29,"Within 95% CI"
"Tree_203","clinics_to_wastewater",26,20,29.025,"Within 95% CI"
"Tree_204","wastewater_to_clinics",27,19,30,"Within 95% CI"
"Tree_204","clinics_to_wastewater",26,19.975,30,"Within 95% CI"
